Handle,Impact Hours,% of distribution,Deducted Impact Hours,Total Impact
zeptimusQ,598.0581662,0.07002290414043379,0.0,598.0581662
Santigs67,526.1360623,0.06160199314616131,0.0,526.1360623
cranders71,341.2257713,0.039951999361204416,0.0,341.2257713
sembrestels,320.9188491,0.037574388374579534,-449.04886390999997,769.9677130099999
ygganderson,238.0020374,0.027866175552755355,-139.0371,377.0391374
solsista,235.9516375,0.02762610700464152,0.0,235.9516375
akrtws ,204.0971181,0.0238964598157093,0.0,204.0971181
iviangita,198.8372139,0.023280610407741688,-226.54019399999999,425.3774079
mateodaza,198.7304109,0.023268105509968235,-56.099999999999994,254.8304109
metaverde,165.3437714,0.019359071925268527,0.0,165.3437714
durgadasji,164.6739109,0.019280642133268536,0.0,164.6739109
JessicaZartler,150.4079068,0.017610324605613084,-399.1022,549.5101068
JuankBell,146.0063432,0.01709497295012252,-439.66884544,585.67518864
GriffGreen,120.0284707,0.014053385728936421,-588.1337000000001,708.1621707
Tonga2020,115.6545999,0.013541276450842188,0.0,115.6545999
liviade,114.1663029,0.01336702102878907,-579.0353000000001,693.2016029000001
mzargham,106.2349604,0.012438389556182905,0.0,106.2349604
Vyvy-vi#5040,104.858099,0.012277181434171204,-41.737700000000004,146.595799
shawn_westrick,97.03534636,0.011361264071641852,0.0,97.03534636
naynaysoo,95.88339881,0.011226389710873601,-159.11745,255.00084880999998
Laurenluz,94.43508538,0.011056815715891517,-37.823499999999996,132.25858538
danlessa,94.03300186,0.01100973826194368,0.0,94.03300186
freedumbs00,87.4604459,0.010240198638617462,-355.5433,443.0037459
sgonzt,80.73173051,0.009452375280672264,-10.0485,90.78023051000001
MerlinEgalite,78.46304888,0.009186749484920605,0.0,78.46304888
Tam2140,77.33355908,0.00905450456216413,-416.74542547,494.07898455
jeffemmett,76.56700671,0.008964753721599264,-119.02108696000002,195.58809367000003
paulo_c2d,74.41543336,0.008712839404643378,-321.25098818,395.66642154
Sponnet2,70.66343576,0.008273541384604174,0.0,70.66343576
Mount Manu#3530,69.65442465,0.008155402560949127,0.0,69.65442465
vegayp,69.59828405,0.008148829407910913,-224.6601,294.25838405
xgabi,68.06115939,0.007968857059396768,-53.7202,121.78135939
VitorMarthendal,68.01965379,0.007963997427316903,-189.4742,257.49385379
wslyvh,67.28332338,0.007877785087733407,0.0,67.28332338
simondlr,67.25898424,0.007874935369489596,0.0,67.25898424
danibelle,66.17615329,0.0077481534407452465,0.0,66.17615329
