,To,From,Reason for dishing,Server,Date,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,tag
0,zeptimusQ,Tam2140,hosting kicking params party,Token Engineering Commons,2021-05-07,praise,10000.0,100.0,200.0,0.001962709626,2.355251551,39.04071991,TEC3
1,zeptimusQ,iviangita,hosting leading lot params parties,Token Engineering Commons,2021-05-07,praise,10000.0,100.0,100.0,0.001662949434,1.995539321,39.04071991,TEC3
2,zeptimusQ,JuankBell,testing deploying bot record display meetings,Token Engineering Commons,2021-04-28,praise,1000.0,200.0,200.0,0.001342393283,1.61087194,39.04071991,TEC10
3,zeptimusQ,iviangita,huge success mvv process,Token Engineering Commons,2021-04-30,praise,1000.0,200.0,100.0,0.001042633091,1.25115971,39.04071991,TEC2
4,zeptimusQ,iviangita,awesome work recorder bot help documentation always getting recordings going pushing transparency wg good personality,Token Engineering Commons,2021-04-30,praise,1000.0,200.0,100.0,0.001042633091,1.25115971,39.04071991,TEC10
5,zeptimusQ,Tam2140,taking care ivy access twitter dms,Token Engineering Commons,2021-04-30,praise,1000.0,100.0,200.0,0.001023154349,1.227785219,39.04071991,TEC1
6,zeptimusQ,GriffGreen,many community members user testing last month slowly surely make project something proud release,Token Engineering Commons,2021-05-03,general,1000.0,100.0,200.0,0.001023154349,1.227785219,39.04071991,TEC8
7,zeptimusQ,Tam2140,keeping stewards working groups transparent stewards audit forum,Token Engineering Commons,2021-05-06,praise,1000.0,100.0,200.0,0.001023154349,1.227785219,39.04071991,TEC8
8,zeptimusQ,iviangita,awesome memes,Token Engineering Commons,2021-05-07,praise,1000.0,100.0,200.0,0.001023154349,1.227785219,39.04071991,TEC1
9,zeptimusQ,cranders71,attending 1hive tec hatch params party individuals attendance praise channel help join us,Token Engineering Commons,2021-05-07,praise,1000.0,100.0,200.0,0.001023154349,1.227785219,39.04071991,TEC3
10,zeptimusQ,iviangita,thoughtful taking time guide tec hatch config dashboard,Token Engineering Commons,2021-04-26,praise,1000.0,150.0,100.0,0.0008830136242,1.059616349,39.04071991,TEC6
11,zeptimusQ,iviangita,present transparency sync call today,Token Engineering Commons,2021-04-26,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,39.04071991,TEC10
12,zeptimusQ,JuankBell,improv hack session designs illustrations hatch gravity,Token Engineering Commons,2021-04-26,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,39.04071991,TEC6
13,zeptimusQ,solsista,joining 810180622634844202 bi weekly call diverse backgrounds already creating perfect focus group start research making time work sessions next call,Token Engineering Commons,2021-04-28,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,39.04071991,TEC2
14,zeptimusQ,Tam2140,highly productive community stewards call,Token Engineering Commons,2021-04-28,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,39.04071991,TEC8
15,zeptimusQ,iviangita,amazing ideas transparency,Token Engineering Commons,2021-04-30,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,39.04071991,TEC10
16,zeptimusQ,iviangita,things suga see,Token Engineering Commons,2021-04-30,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,39.04071991,TEC2
17,zeptimusQ,iviangita,active piece softgov making better every time,Token Engineering Commons,2021-04-30,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,39.04071991,TEC2
18,zeptimusQ,iviangita,joining santi project launching around art,Token Engineering Commons,2021-04-30,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,39.04071991,TEC8
19,zeptimusQ,zeptimusQ,joinimc community call https youtu fvlttushrbg ugly dude getting recording,Token Engineering Commons,2021-04-30,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,39.04071991,TEC10
20,zeptimusQ,zeptimusQ,yesterday restrospective meeting awesome sprint,Token Engineering Commons,2021-04-30,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,39.04071991,TEC2
21,zeptimusQ,GriffGreen,amazing memes week,Token Engineering Commons,2021-05-03,memes,1000.0,100.0,100.0,0.000723394157,0.8680729884,39.04071991,TEC1
22,zeptimusQ,iviangita,transparency work background answering manu questions time always present,Token Engineering Commons,2021-05-07,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,39.04071991,TEC10
23,zeptimusQ,iviangita,awesome people interacted juan recently conversations amazing,Token Engineering Commons,2021-05-07,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,39.04071991,TEC1
24,zeptimusQ,sembrestels,coming hatch dashboard party today,Token Engineering Commons,2021-05-04,praise,1000.0,90.0,100.0,0.0006914702636,0.8297643163,39.04071991,TEC3
25,zeptimusQ,Tam2140,joining community stewards sync yesterday,Token Engineering Commons,2021-05-06,praise,1000.0,90.0,100.0,0.0006914702636,0.8297643163,39.04071991,TEC8
26,zeptimusQ,iviangita,joining legal wg past weeks dealt legal issues ahead time,Token Engineering Commons,2021-05-07,praise,1000.0,90.0,100.0,0.0006914702636,0.8297643163,39.04071991,TEC4
27,zeptimusQ,iviangita,joining legal weekly sync,Token Engineering Commons,2021-04-30,praise,1000.0,80.0,100.0,0.0006595463701,0.7914556442,39.04071991,TEC4
