Category Code,QUESTIONS,,To,From,Reason for dishing,Server,Date,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,Unnamed: 12,v1,v2,v3,period,Cred per Praise,Cred per person,To.1,Room-NoEmoji,Source,Year,Month,Day,
TEC15,,6077,liviade,cranders71,always caring for our finicky bot and valued community members 🤲,Telegram,2021-01-13,TE Praise,30,10,40,6.549.137.185,4.911.852.889,6.767.403.323,liviade,Griff,Jake,Zepti,#9 Jan 15,,,,TE Praise,Telegram:TE Praise,2021,1,13,
TEC12,,421,chuygarcia92,Tam2140,for the Masana Temples recommendation. Nice mix up low and high beats.,Token Engineering Commons,2021-04-30,🙏praise,1000,100,100,723.394.157,8.680.729.884,718.127.319,chuygarcia92,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,30,
TEC12,,70,iviangita,iviangita,for joining the Legal weekly sync,Token Engineering Commons,2021-04-30,🙏praise,1000,80,100,6.595.463.701,7.914.556.442,2.387.003.435,iviangita,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,30,
TEC12,,7141,ygganderson,JessicaZartler,"their presence, energy and smiles in the Comms Working Group today! 🌟🌈🌟",Telegram,2020-11-24,TE Praise,20,60,30,1.283.215.058,,,ygganderson,Griff,Zep,Santi,#6 Dec 4,1.005.185.129,4.404.111.808,,TE Praise,Telegram:TE Praise,2020,11,24,
TEC12,,5293,metaverde,iviangita,mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 💪🙏,Telegram,2021-01-22,TE Commons,,,,0,198.159.943.382.873,3.170.559.094,metaverde,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Commons,Telegram:TE Commons,2021,1,22,
TEC12,,6255,PKK777,iviangita,engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Telegram,2021-01-14,TE Commons,100,125,120,2.961.059.817,2.220.794.863,2.413.424.545,pkk777,Griff,Jake,Zepti,#9 Jan 15,,,,TE Commons,Telegram:TE Commons,2021,1,14,
TEC12,,4856,cranders71,iviangita,mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 💪🙏,Telegram,2021-02-12,TE Commons,20,15,15,6.416.516.372,5.240.155.037,2.797.258.398,cranders71,Zep,Jake,Juanka,#11 Feb 12,,,,TE Commons,Telegram:TE Commons,2021,2,12,
TEC17,,5351,durgadasji,metaverde,the insightful and well-formed presentation in Gravity today.,Telegram,2021-01-21,TE Praise,,0,0,0,0,165.398.834,durgadasji,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,21,
TEC10,,4372,liviade,zeptimusQ,conducting and giving feedback on the audit 🙌🙌🙏,Telegram,2021-02-23,TE Praise,400,200,100,256.106.791,3.670.864.005,1.195.672.351,liviade,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,23,
TEC17,,3778,liviade,iviangita,for the last session of Gravity which is incredible for the whole ecosystem,Token Engineering Commons,2021-03-12,🙏praise,25,5000,400,2.870.979.995,2.966.679.328,8.736.447.588,liviade,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Token Engineering Commons:praise,2021,3,12,
TEC2,,5182,cyotee,liviade,joining the hack session and staying for a great discussion on anarchy vs community governance,Telegram,2021-02-01,TE Praise,30,25,80,1.665.704.767,136.032.556,136.032.556,cyotee,Zep,Jake,Juanka,#11 Feb 12,,,,TE Praise,Telegram:TE Praise,2021,2,1,
TEC6,,1530,chuygarcia92,Suga#8514,to for bringing me on board the Zenhub team!,Token Engineering Commons,2021-04-14,🙏praise,1000,100,80,9.269.003.455,1.112.280.415,5.458.612.046,chuygarcia92,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,14,
TEC12,,3099,paulo_c2d,iviangita,for joining the TEC Community Call 🙏 🙂 https://www.youtube.com/watch?v=DhNRqaOw3ic,Token Engineering Commons,2021-03-19,🙏praise,15,60,100,9.088.990.941,1.014.937.322,8.619.213.757,paulo_c2d,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Token Engineering Commons:praise,2021,3,19,
TEC10,,5310,iviangita,zeptimusQ,drafting the audit proposal its amazing you are here🙌🙌,Telegram,2021-01-18,TE Praise,100000,100,100,1.066.203.478,9.951.232.463,2.563.526.864,iviangita,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,18,
TEC12,,7233,cranders71,cranders71,the great energy and thought provoking conversation on the Legal WG weekly sync 📜🤲,Telegram,2020-12-04,TE Praise,45,45,50,1.677.839.916,,,cranders71,Griff,Zep,Santi,#6 Dec 4,1.314.307.934,3.067.343.107,,TE Praise,Telegram:TE Praise,2020,12,4,
