,To,From,Reason for dishing,Server,Date,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,Unnamed: 12,v1,v2,v3,period,Cred per Praise,Cred per person,To.1,Room-NoEmoji,Source,Year,Month,Day
6536,JessicaZartler,iviangita,their interactions with Mateo,Telegram,2020-12-27,TE Praise,45.0,25.0,30.0,0.002072463303,0.8980674315,3.38736106,jessicazartler,Griff,Jake,Juanka,#8 Jan 1,,,,TE Praise,Telegram:TE Praise,2020,12,27
1849,zeptimusQ,iviangita,"for going to all the calls and making sure they are recorded, for posting the calls in the channels, for all his work and the transparency article with Ivy, for always being around and available to record, and for all the work he is doing for Transparency",Token Engineering Commons,2021-04-09,🙏praise,,100.0,200.0,0.002149500432,2.471925496,51.03442555,zeptimusQ,-,Juank,Ivy,#15 Apr 9,,,,praise,Token Engineering Commons:praise,2021,4,9
5579,JessicaZartler,iviangita,joining the TEC Community Call! 🙏🏼,Telegram,2021-01-22,TE Praise,1000.0,15.0,25.0,0.0006163682558,0.5752770387,6.953861377999999,jessicazartler,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,22
2820,mateodaza,ddan#2489,and who all had great input for todays Gravity call,Token Engineering Commons,2021-03-25,🙏praise,15.0,80.0,100.0,0.0009928040298,1.108631167,25.07491014,mateodaza,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Token Engineering Commons:praise,2021,3,25
1592,naynaysoo,iviangita,because the Comms is coming together,Token Engineering Commons,2021-04-23,🙏praise,1000.0,100.0,100.0,0.0010126617999999998,1.21519416,5.2588618060000005,naynaysoo,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,23
960,zeptimusQ,JuankBell,for being present in transparency call today!,Token Engineering Commons,2021-04-13,🙏praise,1000.0,100.0,50.0,0.0007982581637,0.9579097965000001,43.85790881,zeptimusQ,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,13
6939,liviade,iviangita,joining the TEC Community Call this week 🙏🏼,Telegram,2020-12-11,TE Praise,2.0,45.0,50.0,0.0013346400409999998,1.0056512709999998,7.65769915,liviade,Tam,Zep,Santi,#7 Dec 18,,,,TE Praise,Telegram:TE Praise,2020,12,11
3116,geleeroyale,Tam2140,for that super fast turn around time. I blinked and it was done. 🙏🏼,Token Engineering Commons,2021-03-24,🌾stewards,15.0,100.0,100.0,0.0010767089659999998,1.2023250109999999,7.977965611,geleeroyale,Jake,Juank,Eduardo,#14 Mar 26,,,,stewards,Token Engineering Commons:stewards,2021,3,24
2374,naynaysoo,Tam2140,to and this one if for the work you've put into content and distribution,Token Engineering Commons,2021-04-01,🙏praise,,100.0,150.0,0.001792917919,2.061855606,6.492289456,naynaysoo,-,Juank,Ivy,#15 Apr 9,,,,praise,Token Engineering Commons:praise,2021,4,1
3208,naynaysoo,zeptimusQ,for being an awesome writer and write agreements and the initial page of the Gitbook,Token Engineering Commons,2021-03-22,🙏praise,15.0,100.0,100.0,0.0010767089659999998,1.2023250109999999,6.528198081,naynaysoo,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Token Engineering Commons:praise,2021,3,22
3720,GriffGreen,iviangita,for welcoming Paula ,Token Engineering Commons,2021-03-05,🙌🏿praise,,,,0.0,1.8890920170627663,8.991094546,GriffGreen,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Token Engineering Commons:praise,2021,3,5
6085,liviade,liviade,joining a two hours hack session on the Code of Conduct! you guys rock! ⚡️,Telegram,2021-01-15,TE Praise,200.0,100.0,120.0,0.003531182846,2.648387134,6.767403323,liviade,Griff,Jake,Zepti,#9 Jan 15,,,,TE Praise,Telegram:TE Praise,2021,1,15
1248,GriffGreen,zeptimusQ,for joining stewards meeting ✨,Token Engineering Commons,2021-04-14,🙏praise,1000.0,60.0,50.0,0.0006238180076000001,0.7485816090999999,10.22530884,GriffGreen,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,14
2371,naynaysoo,liviade,for adding to the principles section on gitbook!,Token Engineering Commons,2021-03-31,🙏praise,,100.0,80.0,0.0012937024,1.48775776,6.492289456,naynaysoo,-,Juank,Ivy,#15 Apr 9,,,,praise,Token Engineering Commons:praise,2021,3,31
6221,willjgriff,GriffGreen,helping us improve the Gardens Swarm Direction and even commenting on the TEC's Github Issues!,Telegram,2021-01-12,TE Praise,200.0,25.0,150.0,0.003045102014,2.28382651,3.857746717,willjgriff,Griff,Jake,Zepti,#9 Jan 15,,,,TE Praise,Telegram:TE Praise,2021,1,12
2382,naynaysoo,Tam2140,to for mission vision value tokenlog waterfall Griff's land in S. America sprint planning session,Token Engineering Commons,2021-04-02,🙏praise,,70.0,50.0,0.0008628017784999999,0.9922220452,6.492289456,naynaysoo,-,Juank,Ivy,#15 Apr 9,,,,praise,Token Engineering Commons:praise,2021,4,2
5983,naynaysoo,JessicaZartler,all of their valuable time and feedback in joining the Communications Working Group call today! 🙏🏼🌟 Thank you!,Telegram,2021-01-12,TE Praise,20.0,25.0,45.0,0.0007577357278999999,0.5683017959000001,9.294000678,naynaysoo,Griff,Jake,Zepti,#9 Jan 15,,,,TE Praise,Telegram:TE Praise,2021,1,12
6017,akrtws ,GriffGreen,mentioning us or retweeting us on the socials in December! Thank you for helping us growing the Commons Stack community and spreading the message! 💪🙏,Telegram,2021-01-04,Commons Stack,45.0,25.0,10.0,0.0006846054903999999,0.5134541178,8.078071742,akrtws,Griff,Jake,Zepti,#9 Jan 15,,,,Commons Stack,Telegram:Commons Stack,2021,1,4
5051,JessicaZartler,iviangita,engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Telegram,2021-02-05,TE Commons,60.0,25.0,40.0,0.001544395512,1.261256335,6.7876170270000005,jessicazartler,Zep,Jake,Juanka,#11 Feb 12,,,,TE Commons,Telegram:TE Commons,2021,2,5
3204,naynaysoo,iviangita,for offering feedback on the mission-vision value session,Token Engineering Commons,2021-03-26,🙏praise,25.0,100.0,100.0,0.001234425234,1.378441511,6.528198081,naynaysoo,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Token Engineering Commons:praise,2021,3,26
2654,bends#3537,Krisjones,for joining us on the Commons Stack server!,Commons Stack,2021-04-05,🙌praise,,40.0,40.0,0.0005745341621,0.6607142865,1.486607145,bends#3537,-,Juank,Ivy,#15 Apr 9,,,,praise,Commons Stack:praise,2021,4,5
2781,zeptimusQ,liviade,joining the mission token log hack session!,TG,2021-03-18,TE Praise,15.0,60.0,100.0,0.0009088990941,1.014937322,52.3726097,zeptimusQ,Jake,Juank,Eduardo,#14 Mar 26,,,,TE Praise,TG:TE Praise,2021,3,18
6624,lbagic,iviangita,hitting their first milestone in Commons Simulator,Telegram,2020-12-27,TE Praise,30.0,25.0,25.0,0.0016445622870000002,0.7126436575,1.6911558780000002,lbagic,Griff,Jake,Juanka,#8 Jan 1,,,,TE Praise,Telegram:TE Praise,2020,12,27
2350,chuygarcia92,markop,to for joining the Comms Weekly call.,Token Engineering Commons,2021-04-06,🙏praise,,50.0,50.0,0.0007181677027000001,0.8258928581,6.766306821000001,chuygarcia92,-,Juank,Ivy,#15 Apr 9,,,,praise,Token Engineering Commons:praise,2021,4,6
2981,freedumbs00,iviangita,for setting the up the Tokenlog,Token Engineering Commons,2021-03-26,🙏praise,,,,0.0,1.6277939747327528,9.68973309,freedumbs00,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Token Engineering Commons:praise,2021,3,26
1348,liviade,vegayp,for joining the AMA!,Token Engineering Commons,2021-04-21,🙏praise,1000.0,60.0,50.0,0.0006238180076000001,0.7485816090999999,8.26473812,liviade,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,21
1209,metaverde,markop,for attending the Comms WG Weekly Call.,Token Engineering Commons,2021-04-20,🙏praise,,,,0.0,1.5075376884422111,10.55276382,metaverde,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,20
1455,VitorMarthendal,GriffGreen,joining our Commons Stack Simulator sync & continuing to improve the game!,Telegram,2021-04-21,CS dDEV Team,2500.0,50.0,100.0,0.001016242811,1.2194913729999999,6.34528457,VitorMarthendal,Metaverde,Juank,Ivy,#16 Apr 24,,,,CS dDEV Team,Telegram:CS dDEV Team,2021,4,21
1776,EFRA#7972,vegayp,"@griff, @Juankbell, @Tam2140, @metaverde, @freedumbs00, @liviade, @natesuits, @Vyvy-vi, @Zeptimus, @rodbot2, @AmwFund, @🐙 octopus, for joining Hatch Outreach call! Thank you so much, it was one of our biggest calls!",Token Engineering Commons,2021-04-14,🙏praise,1000.0,60.0,50.0,0.0006238180076000001,0.7485816090999999,0.7485816090999999,EFRA#7972,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,14
1405,Tam2140,zeptimusQ,for being an awesome coordinator and knowing what everyone its doing u rock!! 🤟,Token Engineering Commons,2021-04-15,🙏praise,1000.0,100.0,100.0,0.0010126617999999998,1.21519416,7.557688821,Tam2140,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,15
1137,ddan#2489,JuankBell,for taking time to work on the Gravity survey 🙂,Token Engineering Commons,2021-04-13,🙏praise,1000.0,100.0,100.0,0.0010126617999999998,1.21519416,15.13161277,ddan#2489,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,13
7053,thelastjosh,iviangita,joining the TEC Community Call this week 🙏🏼,Telegram,2020-12-11,TE Praise,2.0,45.0,50.0,0.0013346400409999998,1.0056512709999998,2.735017348,thelastjosh,Tam,Zep,Santi,#7 Dec 18,,,,TE Praise,Telegram:TE Praise,2020,12,11
2303,markop,Vyvy-vi#5040,for volunteering to collaborate on the bot issues. !praise for offering a design mock for the discord invite site,Token Engineering Commons,2021-04-05,🙏praise,,80.0,100.0,0.0012917013300000001,1.4854565290000001,6.992560491,markop,-,Juank,Ivy,#15 Apr 9,,,,praise,Token Engineering Commons:praise,2021,4,5
5597,Tam2140,JessicaZartler,an awesome Comms WG call today - thank you all so much for sharing your time and energy! 🙏🏼💫❤️,Telegram,2021-01-26,TE Praise,1000.0,25.0,25.0,0.0008034239984,0.7498623984999999,6.755354539,tam2140,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,26
254,sembrestels,iviangita,for being heroes with no capes ,Token Engineering Commons,2021-05-07,🙏praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,11.11149818,sembrestels,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,7
1977,mateodaza,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-04-09,Commons Stack,,20.0,25.0,0.0003229253324,0.3713641322,10.00056517,mateodaza,-,Juank,Ivy,#15 Apr 9,,,,Commons Stack,Telegram:Commons Stack,2021,4,9
5589,Tam2140,iviangita,the tremendous effort that happens in the background and they give to the community,Telegram,2021-01-29,TE Praise,5000.0,25.0,100.0,0.0018883647860000001,1.7624738009999998,6.755354539,tam2140,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,29
6661,jamiepitts,GriffGreen,"donating to Commons Stack Iteration 0 Gitcoin grant, helping us raise over 14,000 DAI to build the future of high functioning Public Goods focused economies!",Telegram,2020-12-23,Commons Stack,20.0,25.0,25.0,0.0014231519020000002,0.6166991577000001,0.6166991577000001,jamiepitts,Griff,Jake,Juanka,#8 Jan 1,,,,Commons Stack,Telegram:Commons Stack,2020,12,23
4380,liviade,iviangita,"the work she’s doing in bringing the cultural thing through and navigating it so well, for reaching out to Heater after the AMA session and checking in on him",Telegram,2021-02-26,TE Praise,150.0,200.0,250.0,0.0025563680249999997,3.664127502,11.95672351,liviade,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,26
4613,freedumbs00,JessicaZartler,"joining the Comms working group calls, all their efforts and supporting the multifaceted jobs that is Communications! Thank you all so much! 🙏🏼🌟❤️",Telegram,2021-02-23,TE Praise,40.0,50.0,80.0,0.000752629433,1.078768854,5.533341318,freedumbs00,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,23
1760,tylerdmace,jeffemmett,for their continued work in the cadCAD ecosystem and updating the website,Commons Stack,2021-04-19,🙌praise,1000.0,100.0,100.0,0.0010126617999999998,1.21519416,1.21519416,tylerdmace,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Commons Stack:praise,2021,4,19
5952,JuankBell,iviangita,engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Telegram,2021-01-14,TE Commons,100.0,125.0,120.0,0.002961059817,2.220794863,9.575225457,juankbell,Griff,Jake,Zepti,#9 Jan 15,,,,TE Commons,Telegram:TE Commons,2021,1,14
2704,michaelr10,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-04-09,Commons Stack,,20.0,25.0,0.0003229253324,0.3713641322,0.6607142865,michaelr10,-,Juank,Ivy,#15 Apr 9,,,,Commons Stack,Telegram:Commons Stack,2021,4,9
526,liviade,iviangita,for joining the TEC Community Call 🙏 😊 https://youtu.be/CArIX3rOvx0 ,Token Engineering Commons,2021-05-07,🙏praise,1000.0,50.0,100.0,0.0005637746898,0.6765296278,6.18923096,liviade,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,7
4384,liviade,iviangita,attending the Legal WG meeting and hacking on the Hatch DAO terms,Telegram,2021-02-26,TE Praise,40.0,100.0,80.0,0.0008832961205,1.266057773,11.95672351,liviade,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,26
4509,sembrestels,iviangita,the nice talk he had with Santi last week,Telegram,2021-02-19,TE Praise,100.0,100.0,100.0,0.001218922197,1.747121815,7.479808895,sembrestels,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,19
6614,metaverde,sembrestels,attending last week tech spec meeting,Telegram,2020-12-21,TE Praise,20.0,25.0,25.0,0.0014231519020000002,0.6166991577000001,2.2171954659999997,metaverde,Griff,Jake,Juanka,#8 Jan 1,,,,TE Praise,Telegram:TE Praise,2020,12,21
5883,sembrestels,iviangita,joining the TEC Community Call this week 🙏🏼🌟,Telegram,2021-01-08,TE Praise,20.0,25.0,20.0,0.0005606836272999999,0.4205127205,19.00593904,sembrestels,Griff,Jake,Zepti,#9 Jan 15,,,,TE Praise,Telegram:TE Praise,2021,1,8
2443,freedumbs00,zeptimusQ,for posting the audit and closing the issue thanks buddy :),Token Engineering Commons,2021-04-05,🙏praise,,100.0,100.0,0.001436335405,1.651785716,5.810801582000001,freedumbs00,-,Juank,Ivy,#15 Apr 9,,,,praise,Token Engineering Commons:praise,2021,4,5
3985,vegayp,iviangita,for welcoming Paula ,Token Engineering Commons,2021-03-05,🙌🏿praise,25.0,500.0,20.0,0.0006044362798,0.6245841557999999,3.7870572589999996,vegayp,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Token Engineering Commons:praise,2021,3,5
7113,macerer,JessicaZartler,joining the TEC weekly meeting last week and their research and work on open source tech! 🙏🏼🔥,Telegram,2020-12-16,TE Praise,5.0,45.0,50.0,0.0014478518609999998,1.090956377,1.139267953,macerer,Tam,Zep,Santi,#7 Dec 18,,,,TE Praise,Telegram:TE Praise,2020,12,16
7302,Santigs67,cranders71,the great energy and thought provoking conversation on the Legal WG weekly sync 📜🤲,Telegram,2020-12-04,TE Praise,,,,0.0,,,santigs67,Griff,Zep,Santi,#6 Dec 4,1.119370091,24.62614201,,TE Praise,Telegram:TE Praise,2020,12,4
4900,sgonzt,iviangita,the quick catch in the requirement file and for helping Victor fix the requirements,Telegram,2021-02-05,TE Praise,90.0,100.0,100.0,0.003786837414,3.092583888,16.94703456,sgonzt,Zep,Jake,Juanka,#11 Feb 12,,,,TE Praise,Telegram:TE Praise,2021,2,5
853,OOPS FIX ME,cranders71,"for attending the 1Hive TEC Hatch Params Party, and to the 9 individuals in attendance but not in the Praise channel, help them join us here. ",Token Engineering Commons,2021-05-07,🙏praise,1000.0,100.0,200.0,0.001023154349,1.227785219,11.88985225,OOPS FIX ME,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,7
83,Suga#8514,iviangita,for all the onboarding work and for the blog post that she is working on right now ,Token Engineering Commons,2021-05-07,🙏praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,20.12199683,Suga#8514,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,7
2632,zeroknowledge#8287,jeffemmett,for all his contributed #TokenEngineering research & expertise,Commons Stack,2021-04-01,🙌praise,,100.0,100.0,0.001436335405,1.651785716,1.651785716,zeroknowledge#8287,-,Juank,Ivy,#15 Apr 9,,,,praise,Commons Stack:praise,2021,4,1
414,chuygarcia92,iviangita,for all their work in Comms ,Token Engineering Commons,2021-04-30,🙏praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,7.18127319,chuygarcia92,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,30
4550,VitorMarthendal,ygganderson,maintain awesome PM on the params project. Great to see the progress: https://github.com/TECommons/Token-Log-Hatch-Params/issues Thank you 🦅🤸🏻,Telegram,2021-02-17,TE Praise,1200.0,1000.0,150.0,0.007832560169,11.22666958,6.286065299,vitormarthendal,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,17
5989,JessicaZartler,liviade,writing about the projects that should submit proposals to the TEC! https://forum.tecommons.org/t/tec-funding-proposals-what-kinds-of-projects-should-apply/191 🤘⚡️✨,Telegram,2021-01-05,TE Praise,500.0,200.0,600.0,0.01071088675,8.033165065,8.658705897,jessicazartler,Griff,Jake,Zepti,#9 Jan 15,,,,TE Praise,Telegram:TE Praise,2021,1,5
3078,sembrestels,GriffGreen,for being such great leaders for our community,Token Engineering Commons,2021-03-23,🙏praise,15.0,250.0,100.0,0.001705995983,1.9050288480000002,8.926152969,sembrestels,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Token Engineering Commons:praise,2021,3,23
4614,freedumbs00,iviangita,mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Telegram,2021-02-26,TE Praise,20.0,100.0,20.0,0.00045285113939999994,0.6490866332,5.533341318,freedumbs00,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,26
5647,fabimol,fabimol,3 hours of work on celeste creating deposit and withdraw modal screens,Telegram,2021-01-28,Gardens Swarm,20000.0,200.0,200.0,0.007358434336,6.8678720470000005,3.688533038,fabimol,MetaVerde,Jake,Juanka,#10 Jan 29,,,,Gardens Swarm,Telegram:Gardens Swarm,2021,1,28
1310,liviade,iviangita,because you are the reasons a lot of us are here,Token Engineering Commons,2021-04-23,🙏praise,1000.0,250.0,200.0,0.002095619658,2.51474359,8.26473812,liviade,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,23
7313,Tonga2020,liviade,joining the book club last week 💫💫,Telegram,2020-11-30,TE Praise,50.0,60.0,50.0,0.001892287856,,,tonga2020,Griff,Zep,Santi,#6 Dec 4,1.482292154,21.80544171,,TE Praise,Telegram:TE Praise,2020,11,30
584,xgabi,iviangita,for being heroes with no capes ,Token Engineering Commons,2021-05-07,🙏praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,5.005165508,xgabi,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,7
