To,IH per Praise
GriffGreen,-588.1337000000001
liviade,-579.0353000000001
sembrestels,-449.04886390999997
JuankBell,-439.66884544
Tam2140,-416.74542547
JessicaZartler,-399.1022
freedumbs00,-355.5433
paulo_c2d,-321.25098818
markop,-305.19625548
iviangita,-226.54019399999999
vegayp,-224.6601
chuygarcia92,-191.91645000000003
VitorMarthendal,-189.4742
fabimol,-170.46495978
naynaysoo,-159.11745
Krisjones,-140.28681984
ygganderson,-139.0371
jeffemmett,-119.02108696000002
divine_comedian,-103.44075
fabiosmendes,-88.37535
knobsDAO,-59.18116533999999
mateodaza,-56.099999999999994
xgabi,-53.7202
Vyvy-vi#5040,-41.737700000000004
Laurenluz,-37.823499999999996
fiorebotta,-32.098596984000004
atacas,-31.111832429
aminlatifi,-22.982999999999997
geleeroyale,-21.47275
vivszaid,-21.14321492
katalenacaban,-16.08295
kristoferkristofer ,-14.1555
anthonyoliai,-11.820201857
sgonzt,-10.0485
rubenrussel7,-6.321996295
Gfriis,-3.092459782
Suga#8514,0.0
