,To,From,Reason for dishing,Server,Date,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,tag,hand_labeled
3,zeptimusQ,iviangita,huge success mvv process,Token Engineering Commons,2021-04-30,praise,1000.0,200.0,100.0,0.001042633091,1.25115971,39.04071991,TEC2,TEC2
6,zeptimusQ,GriffGreen,many community members user testing last month slowly surely make project something proud release,Token Engineering Commons,2021-05-03,general,1000.0,100.0,200.0,0.001023154349,1.227785219,39.04071991,TEC8,TEC3
8,zeptimusQ,iviangita,awesome memes,Token Engineering Commons,2021-05-07,praise,1000.0,100.0,200.0,0.001023154349,1.227785219,39.04071991,TEC1,TEC1
9,zeptimusQ,cranders71,attending 1hive tec hatch params party individuals attendance praise channel help join us,Token Engineering Commons,2021-05-07,praise,1000.0,100.0,200.0,0.001023154349,1.227785219,39.04071991,TEC3,TEC12
13,zeptimusQ,solsista,joining 810180622634844202 bi weekly call diverse backgrounds already creating perfect focus group start research making time work sessions next call,Token Engineering Commons,2021-04-28,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,39.04071991,TEC2,TEC7
20,zeptimusQ,zeptimusQ,yesterday restrospective meeting awesome sprint,Token Engineering Commons,2021-04-30,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,39.04071991,TEC2,TEC8
24,zeptimusQ,sembrestels,coming hatch dashboard party today,Token Engineering Commons,2021-05-04,praise,1000.0,90.0,100.0,0.0006914702636,0.8297643163,39.04071991,TEC3,TEC12
27,zeptimusQ,iviangita,joining legal weekly sync,Token Engineering Commons,2021-04-30,praise,1000.0,80.0,100.0,0.0006595463701,0.7914556442,39.04071991,TEC4,TEC4
33,zeptimusQ,liviade,joining soft gov call yesterday,Token Engineering Commons,2021-04-28,praise,1000.0,70.0,100.0,0.0006276224767,0.7531469721,39.04071991,TEC2,TEC12
36,zeptimusQ,iviangita,joining tec community call https youtu carix3rovx0,Token Engineering Commons,2021-05-07,praise,1000.0,50.0,100.0,0.0005637746898,0.6765296278,39.04071991,TEC15,TEC12
37,zeptimusQ,iviangita,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,Telegram,2021-04-30,commons stack,500.0,25.0,100.0,0.0004317674408,0.518120929,39.04071991,TEC1,TEC12
41,solsista,iviangita,te academy kickoff,Telegram,2021-05-07,te praise,100000.0,400.0,100.0,0.01201621901,14.41946281,28.49199425,TEC7,TE5
42,solsista,Suga#8514,enlightening talk morning shifting paradigms bringing decentralized organization people greater good,Commons Stack,2021-04-30,praise,10000.0,300.0,100.0,0.002301427303,2.761712764,28.49199425,TEC2,TE6
45,solsista,liviade,initiating new ecosystem value flows course te academy,Telegram,2021-05-03,commons stack,1500.0,400.0,100.0,0.001733308476,2.079970171,28.49199425,TEC4,TE5
52,iviangita,Letty#5399,bot server hacking ivy already catching praise channel command glitch making count,Token Engineering Commons,2021-05-01,omega,20000.0,100.0,300.0,0.003306420126,3.967704151,23.87003435,TEC16,TEC14
53,iviangita,markop,praise queen,Token Engineering Commons,2021-04-30,praise,1000.0,200.0,500.0,0.002241673859,2.690008631,23.87003435,TEC16,TEC16
55,iviangita,GriffGreen,always cleaning videos making praise,Telegram,2021-05-05,cs ddev team,10000.0,150.0,100.0,0.001822568901,2.187082682,23.87003435,TEC16,TEC10
56,iviangita,iviangita,work behind scenes,Token Engineering Commons,2021-04-30,praise,1000.0,200.0,200.0,0.001342393283,1.61087194,23.87003435,TEC2,TEC16
58,iviangita,iviangita,really great commons stack comms organizing things within chaos,Token Engineering Commons,2021-04-30,praise,1000.0,200.0,100.0,0.001042633091,1.25115971,23.87003435,TEC1,TEC1
60,iviangita,Tam2140,keeping stewards working groups transparent stewards audit forum,Token Engineering Commons,2021-05-06,praise,1000.0,100.0,200.0,0.001023154349,1.227785219,23.87003435,TEC8,TEC10
63,iviangita,iviangita,present transparency sync call today,Token Engineering Commons,2021-04-26,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,23.87003435,TEC10,TEC12
64,iviangita,iviangita,amazing ideas transparency,Token Engineering Commons,2021-04-30,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,23.87003435,TEC10,TEC10
65,iviangita,naynaysoo,attending seo hack session,Token Engineering Commons,2021-04-30,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,23.87003435,TEC1,TEC1
66,iviangita,Krisjones,great team peers work,Commons Stack,2021-05-03,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,23.87003435,TEC16,TEC12
67,iviangita,Tam2140,airdropping cslove new members swiss membership today,Token Engineering Commons,2021-05-04,praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,23.87003435,TEC2,TEC6
