,Handle,Impact Hours,% of distribution
0,zeptimusq,598.0581662,0.07002290414043379
1,santigs67,526.1360623,0.06160199314616131
2,cranders71,341.2257713,0.039951999361204416
3,sembrestels,320.9188491,0.037574388374579534
4,ygganderson,238.0020374,0.027866175552755355
5,solsista,235.9516375,0.02762610700464152
6,akrtws,204.0971181,0.0238964598157093
7,iviangita,198.8372139,0.023280610407741688
8,mateodaza,198.7304109,0.023268105509968235
9,metaverde,165.3437714,0.019359071925268527
10,durgadasji,164.6739109,0.019280642133268536
11,jessicazartler,150.4079068,0.017610324605613084
12,juankbell,146.0063432,0.01709497295012252
13,griffgreen,120.0284707,0.014053385728936421
14,tonga2020,115.6545999,0.013541276450842188
15,liviade,114.1663029,0.01336702102878907
16,mzargham,106.2349604,0.012438389556182905
17,Vyvy-vi#5040,104.858099,0.012277181434171204
18,shawn_westrick,97.03534636,0.011361264071641852
19,naynaysoo,95.88339881,0.011226389710873601
20,laurenluz,94.43508538,0.011056815715891517
21,danlessa,94.03300186,0.01100973826194368
22,freedumbs00,87.4604459,0.010240198638617462
23,sgonzt,80.73173051,0.009452375280672264
24,merlinegalite,78.46304888,0.009186749484920605
25,tam2140,77.33355908,0.00905450456216413
26,jeffemmett,76.56700671,0.008964753721599264
27,paulo_c2d,74.41543336,0.008712839404643378
28,sponnet2,70.66343576,0.008273541384604174
29,Mount Manu#3530,69.65442465,0.008155402560949127
30,vegayp,69.59828405,0.008148829407910913
31,xgabi,68.06115939,0.007968857059396768
32,vitormarthendal,68.01965379,0.007963997427316903
33,wslyvh,67.28332338,0.007877785087733407
34,simondlr,67.25898424,0.007874935369489596
35,danibelle,66.17615329,0.0077481534407452465
36,manualzuru,65.87106219,0.007712432224889036
37,lkngtn,65.57938505,0.007678281566025955
38,blairv,63.84408535,0.00747510613691997
39,tannra,63.37209756,0.0074198440275759555
40,markop,63.19042563,0.007398573193302047
41,kristoferkristofer,62.5792293,0.007327012023427038
42,Suga#8514,57.64135797,0.00674886743759965
43,ddan#2489,55.43185519,0.0064901705246471686
44,benjaminscholtz,53.11418589,0.006218809067860616
45,divine_comedian,52.56795015,0.00615485372869498
46,knobsdao,47.85046549,0.005602512844813999
47,geleeroyale,46.74060597,0.005472566309225153
48,rdfbbx#6437,45.58664402,0.005337456094912762
49,randomshinichi,45.31196822,0.005305296017013808
50,vntrp,44.31867887,0.005188997956273837
51,hbesso31,42.61022249,0.0049889654442441525
52,atacas,41.6902896,0.004881256234316634
53,rosamoc,41.27510754,0.004832645153938065
54,fabiosmendes,39.85271004,0.004666105493715811
55,heater03,39.58864661,0.0046351879520937795
56,krisjones,38.79117018,0.004541816406033373
57,niranb,38.65254448,0.004525585586606264
58,fabimol,37.80786722,0.0044266875894726455
59,fiorebotta,37.69743304,0.004413757539459114
60,chuygarcia92,37.18808325,0.004354120946340188
61,trentmc0,35.91102368,0.0042045979987313945
62,loie_giveth,35.25949202,0.0041283142163987905
63,willjgriff,35.07390619,0.004106585127961651
64,AnnaMarieSwan#8824,33.02089376,0.003866210694988966
65,tylerdmace,32.9610683,0.0038592061046539574
66,owocki,32.89321308,0.003851261359754514
67,rubenrussel7,32.47640777,0.0038024602231480228
68,quartagiulio,31.21807375,0.0036551297335085907
69,daithic,30.50296318,0.003571401892768472
70,aminlatifi,30.45205241,0.003565441067937542
71,fvigevani,29.9512753,0.003506808196502881
72,Letty#5399,27.43481758,0.0032121718422822997
73,fabianvb,26.60005826,0.003114435074943943
74,krrisis,26.03540757,0.003048323644027577
75,jonathanbsci,24.70520025,0.0028925779575384235
76,burrrata,23.53212262,0.002755229607365896
77,rodrigouy,23.52996742,0.002754977268427089
78,felixfalafel,22.96465004,0.0026887877789328126
79,elihanover,22.640098,0.0026507880028744045
80,anjablaj,22.08654087,0.002585975447773734
81,gracerachmany,22.01413616,0.002577498031438363
82,vivszaid,19.59741637,0.002294539369967854
83,misterboyfriend,19.50062975,0.002283207227715874
84,abchewey,19.05824895,0.0022314116163478495
85,phil_h,18.88266729,0.0022108538538393673
86,upaul,18.53150289,0.0021697382023719313
87,baartch#5796,17.89317763,0.002095000675125376
88,ludo_lb,17.84773094,0.0020896796053746025
89,jameszaki,17.78804786,0.0020826916854266146
90,Nuggan#5183,16.68616004,0.0019536785065185805
91,T Wells#9070,16.52342898,0.0019346253406911603
92,aidanbrodieo,16.43773503,0.0019245919700503213
93,pacobacpac,16.33499603,0.0019125629007138143
94,jwaup,16.32806525,0.0019117514188697624
95,pehkah,16.25882368,0.0019036443548872569
96,mehigher,16.05305349,0.0018795520055077983
97,nikoline_nik,15.62672672,0.0018296360604787532
