,To,From,Reason for dishing,Server,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,day_of_week,tag,Kmean tag
0,zeptimusQ,Tam2140,hosting kicking params party,Token Engineering Commons,praise,0.15753828595824187,0.007876914297912095,0.2625638099304031,0.13694484635953652,0.18996994964961697,0.2451061938042896,Friday,TEC3,#1 cluster
1,zeptimusQ,iviangita,hosting leading lot params parties,Token Engineering Commons,praise,0.19240397605356405,0.009620198802678202,0.16033664671130338,0.14170873163135175,0.19657841337983545,0.29935203342126715,Friday,TEC3,#1 cluster
2,zeptimusQ,JuankBell,testing deploying bot record display meetings,Token Engineering Commons,praise,0.020653426284824604,0.020653426284824604,0.34422377141374344,0.12279350727074424,0.17033920604834782,0.3213366626975153,Wednesday,TEC10,#1 cluster
3,zeptimusQ,iviangita,huge success mvv process,Token Engineering Commons,praise,0.027088920702052755,0.027088920702052755,0.2257410058504396,0.12509119200823762,0.1735265553713416,0.42146340536587573,Friday,TEC2,#1 cluster
4,zeptimusQ,iviangita,awesome work recorder bot help documentation always getting recordings going pushing transparency wg good personality,Token Engineering Commons,praise,0.027088920702052755,0.027088920702052755,0.2257410058504396,0.12509119200823762,0.1735265553713416,0.42146340536587573,Friday,TEC10,#1 cluster
5,zeptimusQ,Tam2140,taking care ivy access twitter dms,Token Engineering Commons,praise,0.02245029299709137,0.011225146498545686,0.37417154995152285,0.10173413401233944,0.14112563440336415,0.3492932421371365,Friday,TEC1,#1 cluster
6,zeptimusQ,GriffGreen,many community members user testing last month slowly surely make project something proud release,Token Engineering Commons,general,0.02245029299709137,0.011225146498545686,0.37417154995152285,0.10173413401233944,0.14112563440336415,0.3492932421371365,Monday,TEC8,#1 cluster
7,zeptimusQ,Tam2140,keeping stewards working groups transparent stewards audit forum,Token Engineering Commons,praise,0.02245029299709137,0.011225146498545686,0.37417154995152285,0.10173413401233944,0.14112563440336415,0.3492932421371365,Thursday,TEC8,#1 cluster
8,zeptimusQ,iviangita,awesome memes,Token Engineering Commons,praise,0.02245029299709137,0.011225146498545686,0.37417154995152285,0.10173413401233944,0.14112563440336415,0.3492932421371365,Friday,TEC1,#1 cluster
9,zeptimusQ,cranders71,attending 1hive tec hatch params party individuals attendance praise channel help join us,Token Engineering Commons,praise,0.02245029299709137,0.011225146498545686,0.37417154995152285,0.10173413401233944,0.14112563440336415,0.3492932421371365,Friday,TEC3,#1 cluster
10,zeptimusQ,iviangita,thoughtful taking time guide tec hatch config dashboard,Token Engineering Commons,praise,0.028589540321404747,0.02144215524105356,0.23824616934503953,0.1118093445941021,0.1551019708192251,0.44481081967917496,Monday,TEC6,#1 cluster
11,zeptimusQ,iviangita,present transparency sync call today,Token Engineering Commons,praise,0.03026616687700992,0.01513308343850496,0.252218057308416,0.09696967578003343,0.13451637587495163,0.4708966407210841,Monday,TEC10,#1 cluster
12,zeptimusQ,JuankBell,improv hack session designs illustrations hatch gravity,Token Engineering Commons,praise,0.03026616687700992,0.01513308343850496,0.252218057308416,0.09696967578003343,0.13451637587495163,0.4708966407210841,Monday,TEC6,#1 cluster
13,zeptimusQ,solsista,joining 810180622634844202 bi weekly call diverse backgrounds already creating perfect focus group start research making time work sessions next call,Token Engineering Commons,praise,0.03026616687700992,0.01513308343850496,0.252218057308416,0.09696967578003343,0.13451637587495163,0.4708966407210841,Wednesday,TEC2,#1 cluster
14,zeptimusQ,Tam2140,highly productive community stewards call,Token Engineering Commons,praise,0.03026616687700992,0.01513308343850496,0.252218057308416,0.09696967578003343,0.13451637587495163,0.4708966407210841,Wednesday,TEC8,#1 cluster
15,zeptimusQ,iviangita,amazing ideas transparency,Token Engineering Commons,praise,0.03026616687700992,0.01513308343850496,0.252218057308416,0.09696967578003343,0.13451637587495163,0.4708966407210841,Friday,TEC10,#1 cluster
16,zeptimusQ,iviangita,things suga see,Token Engineering Commons,praise,0.03026616687700992,0.01513308343850496,0.252218057308416,0.09696967578003343,0.13451637587495163,0.4708966407210841,Friday,TEC2,#1 cluster
17,zeptimusQ,iviangita,active piece softgov making better every time,Token Engineering Commons,praise,0.03026616687700992,0.01513308343850496,0.252218057308416,0.09696967578003343,0.13451637587495163,0.4708966407210841,Friday,TEC2,#1 cluster
18,zeptimusQ,iviangita,joining santi project launching around art,Token Engineering Commons,praise,0.03026616687700992,0.01513308343850496,0.252218057308416,0.09696967578003343,0.13451637587495163,0.4708966407210841,Friday,TEC8,#1 cluster
19,zeptimusQ,zeptimusQ,joinimc community call https youtu fvlttushrbg ugly dude getting recording,Token Engineering Commons,praise,0.03026616687700992,0.01513308343850496,0.252218057308416,0.09696967578003343,0.13451637587495163,0.4708966407210841,Friday,TEC10,#1 cluster
20,zeptimusQ,zeptimusQ,yesterday restrospective meeting awesome sprint,Token Engineering Commons,praise,0.03026616687700992,0.01513308343850496,0.252218057308416,0.09696967578003343,0.13451637587495163,0.4708966407210841,Friday,TEC2,#1 cluster
21,zeptimusQ,GriffGreen,amazing memes week,Token Engineering Commons,memes,0.03026616687700992,0.01513308343850496,0.252218057308416,0.09696967578003343,0.13451637587495163,0.4708966407210841,Monday,TEC1,#1 cluster
22,zeptimusQ,iviangita,transparency work background answering manu questions time always present,Token Engineering Commons,praise,0.03026616687700992,0.01513308343850496,0.252218057308416,0.09696967578003343,0.13451637587495163,0.4708966407210841,Friday,TEC10,#1 cluster
23,zeptimusQ,iviangita,awesome people interacted juan recently conversations amazing,Token Engineering Commons,praise,0.03026616687700992,0.01513308343850496,0.252218057308416,0.09696967578003343,0.13451637587495163,0.4708966407210841,Friday,TEC1,#1 cluster
24,zeptimusQ,sembrestels,coming hatch dashboard party today,Token Engineering Commons,praise,0.030625370337922644,0.013781416652065191,0.2552114194826887,0.09379039869228104,0.130106081330697,0.4764853135043454,Tuesday,TEC3,#1 cluster
25,zeptimusQ,Tam2140,joining community stewards sync yesterday,Token Engineering Commons,praise,0.030625370337922644,0.013781416652065191,0.2552114194826887,0.09379039869228104,0.130106081330697,0.4764853135043454,Thursday,TEC8,#1 cluster
26,zeptimusQ,iviangita,joining legal wg past weeks dealt legal issues ahead time,Token Engineering Commons,praise,0.030625370337922644,0.013781416652065191,0.2552114194826887,0.09379039869228104,0.130106081330697,0.4764853135043454,Friday,TEC4,#1 cluster
27,zeptimusQ,iviangita,joining legal weekly sync,Token Engineering Commons,praise,0.03099320236676441,0.012397280946705764,0.2582766863897034,0.09053475092764562,0.12558984536964787,0.482208233999533,Friday,TEC4,#1 cluster
28,zeptimusQ,zeptimusQ,joining common swarm weekly sync,Token Engineering Commons,praise,0.03099320236676441,0.012397280946705764,0.2582766863897034,0.09053475092764562,0.12558984536964787,0.482208233999533,Monday,TEC5,#1 cluster
29,zeptimusQ,chuygarcia92,joining comms wg call,Token Engineering Commons,praise,0.03099320236676441,0.012397280946705764,0.2582766863897034,0.09053475092764562,0.12558984536964787,0.482208233999533,Tuesday,TEC1,#1 cluster
30,zeptimusQ,iviangita,joining legal weekly call,Token Engineering Commons,praise,0.03099320236676441,0.012397280946705764,0.2582766863897034,0.09053475092764562,0.12558984536964787,0.482208233999533,Friday,TEC4,#1 cluster
31,zeptimusQ,markop,attending comms call,Token Engineering Commons,praise,0.0313699776475962,0.01097949217665867,0.261416480396635,0.08719994726352084,0.12096380429195396,0.4880702982236354,Tuesday,TEC1,#1 cluster
32,zeptimusQ,zeptimusQ,joining common swarm yesterday,Token Engineering Commons,praise,0.0313699776475962,0.01097949217665867,0.261416480396635,0.08719994726352084,0.12096380429195396,0.4880702982236354,Tuesday,TEC5,#1 cluster
33,zeptimusQ,liviade,joining soft gov call yesterday,Token Engineering Commons,praise,0.0313699776475962,0.01097949217665867,0.261416480396635,0.08719994726352084,0.12096380429195396,0.4880702982236354,Wednesday,TEC2,#1 cluster
34,zeptimusQ,vegayp,joining hatch outreach call,Token Engineering Commons,praise,0.0313699776475962,0.01097949217665867,0.261416480396635,0.08719994726352084,0.12096380429195396,0.4880702982236354,Wednesday,TEC6,#1 cluster
35,zeptimusQ,iviangita,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,Telegram,te praise,0.0321516951243028,0.0080379237810757,0.26793079270252335,0.08028103713485929,0.11136588918786275,0.5002326620693761,Saturday,TEC1,#1 cluster
36,zeptimusQ,iviangita,joining tec community call https youtu carix3rovx0,Token Engineering Commons,praise,0.0321516951243028,0.0080379237810757,0.26793079270252335,0.08028103713485929,0.11136588918786275,0.5002326620693761,Friday,TEC15,#1 cluster
