0,1,max_intersection_similarity,jaccard_similarity,spacy_similarity
0,hosting kicking params party,TEC3,TEC3,TEC3
1,hosting leading lot params parties,TEC3,TEC3,TEC3
2,testing deploying bot record display meetings,TEC10,TEC10,TEC10
3,huge success mvv process,,,TEC2
4,awesome work recorder bot help documentation always getting recordings going pushing transparency wg good personality,TEC10,TEC10,TEC10
5,taking care ivy access twitter dms,,,TEC1
6,many community members user testing last month slowly surely make project something proud release,TEC15,TEC15,TEC2
7,keeping stewards working groups transparent stewards audit forum,TEC1,TEC8,TEC8
8,awesome memes,,,TEC1
9,attending 1hive tec hatch params party individuals attendance praise channel help join us,TEC3,TEC3,TEC2
10,thoughtful taking time guide tec hatch config dashboard,TEC6,TEC15,TEC5
11,present transparency sync call today,TEC10,TEC10,TEC10
12,improv hack session designs illustrations hatch gravity,TEC17,TEC17,TEC1
13,joining bi weekly call diverse backgrounds already creating perfect focus group start research making time work sessions next call,,,TEC2
14,highly productive community stewards call,TEC15,TEC15,TEC8
15,amazing ideas transparency,TEC10,TEC10,TEC1
16,things suga see,,,TEC2
17,active piece softgov making better every time,,,TEC2
18,joining santi project launching around art,TEC8,TEC8,TEC1
19,joinimc community call https youtu fvlttushrbg ugly dude getting recording,TEC10,TEC15,TEC10
20,yesterday restrospective meeting awesome sprint,,,TEC2
21,amazing memes week,,,TEC1
22,transparency work background answering manu questions time always present,TEC10,TEC10,TEC2
23,awesome people interacted juan recently conversations amazing,,,TEC1
24,coming hatch dashboard party today,TEC3,TEC6,TEC2
25,joining community stewards sync yesterday,TEC15,TEC15,TEC8
26,joining legal wg past weeks dealt legal issues ahead time,TEC4,TEC4,TEC4
27,joining legal weekly sync,TEC4,TEC4,TEC4
28,joining common swarm weekly sync,TEC5,TEC5,TEC5
29,joining comms wg call,TEC1,TEC1,TEC1
30,joining legal weekly call,TEC4,TEC4,TEC4
31,attending comms call,TEC1,TEC1,TEC1
32,joining common swarm yesterday,TEC5,TEC5,TEC2
33,joining soft gov call yesterday,TEC2,TEC2,TEC2
34,joining hatch outreach call,TEC6,TEC6,TEC6
35,engaging discussion te commons forum https forum tecommons org past week thank helping token engineering commons community share learn,TEC5,TEC15,TEC1
36,joining tec community call https youtu carix3rovx0,TEC15,TEC15,TEC15
37,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
38,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
39,mentioning retweeting commons stack socials past week thank helping us grow commons stack community spreading message,TEC5,TEC15,TEC1
40,mentioning retweeting te commons socials past week thank helping us grow token engineering commons community spreading message,TEC5,TEC15,TEC1
41,te academy kickoff,,,TEC7
42,enlightening talk morning shifting paradigms bringing decentralized organization people greater good,,,TEC2
43,omega working group flowering something special necessary community awesome see,TEC7,TEC7,TEC2
44,leading great session unexpectedly project hoping get work,TEC8,TEC8,TEC2
45,initiating new ecosystem value flows course te academy,,,TEC4
46,hosting bonfire chat token engineering,,,TEC1
