,count
Commons,2460
joining,1517
Stack,1380
community,1334
helping,1329
us,1154
Thank,1061
past,997
work,927
retweeting,859
week!,850
mentioning,849
socials,849
spreading,845
message!,841
TEC,838
grow,809
TE,542
Token,499
Engineering,478
call,450
🙏🏼🌱,416
WG,345
Community,344
working,334
sync,325
great,314
amazing,309
Call,297
Comms,294
💪🙏,281
making,276
Simulator,270
awesome,270
time,258
much,239
last,239
attending,238
Hatch,233
week,231
Weekly,223
&,219
always,218
weekly,216
meeting,214
🙏🏼☺️,212
session,211
praise,211
soft,199
Gravity,199
share,196
discussion,187
today,187
Legal,184
sharing,182
hatch,179
gov,169
Sync,169
bringing,162
Forum,162
engaging,158
🙏🏼,156
taking,152
project,152
coming,151
onboarding,148
new,146
week.,146
I,144
🙏,144
donating,140
getting,139
learn!,138
(https://forum.tecommons.org),138
energy,132
supporting,127
cadCAD,127
continuing,126
hard,125
help,124
call!,123
Gitcoin,121
first,119
today!,118
contributions,115
feedback,114
support,109
Working,107
group,107
every,102
today's,99
thank,98
Onboarding,97
push,96
stewards,95
transparency,94
going,94
one,93
get,91
Group,89
hack,89
giving,88
things,87
finish,86
🙌,85
Thanks,85
book,85
many,84
🙂,83
calls,82
It's,82
high,82
participating,82
leading,81
Transparency,81
showing,79
people,78
super,78
lot,77
We,76
Swiss,76
legal,76
value,75
MVV,75
Swarm,73
dashboard,73
Grant,72
params,72
thanks,71
good,71
presence,71
Outreach,71
hours,71
sessions,70
forward,70
issues,69
recording,69
see,69
🙏🏼😊,67
fun,66
😄,65
post,65
DAO,65
"@griff,",65
really,65
around,64
Discord,63
channel,62
✨,62
you.,61
club,61
together,61
swarm,60
research,60
🙏🏼🌟,60
ideas,59
forum,59
"@Tam2140,",59
line!!,58
done,58
Membership,58
Params,57
"@natesuits,",57
⚡,57
Communications,57
Call.,56
Dashboard,55
bot,55
future,55
Thursday,55
efforts,54
Juan,54
focused,54
everything,54
cool,53
Praise,53
jumping,53
contributing,53
build,53
Source,53
yesterday,53
"@Juankbell,",53
content,53
audit,52
incredible,52
raise,51
AMA,51
survey,51
improve,50
progress,50
make,50
appreciate,50
setting,50
process,50
DAI,49
"@freedumbs00,",49
life,49
discussions,49
nice,49
Cred,49
"presence,",49
Goods,49
Public,49
outreach,48
economies!,48
team,48
"call,",48
functioning,48
Stewards,48
blog,48
"grant,",48
0,48
Iteration,48
"@Zeptimus,",48
also,48
"14,000",48
writing,47
better,47
lab,47
something,47
keeping,47
"@AmwFund,",46
everyone,46
commons,46
