,To,From,Reason for dishing,Server,Date,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,Unnamed: 12,v1,v2,v3,period,Cred per Praise,Cred per person,To.1,Room-NoEmoji,Source,Year,Month,Day
6077,liviade,cranders71,always caring for our finicky bot and valued community members 🤲,Telegram,2021-01-13,TE Praise,30.0,10.0,40.0,0.0006549137185,0.4911852889,6.767403323,liviade,Griff,Jake,Zepti,#9 Jan 15,,,,TE Praise,Telegram:TE Praise,2021,1,13
421,chuygarcia92,Tam2140,for the Masana Temples recommendation. Nice mix up low and high beats. ,Token Engineering Commons,2021-04-30,🙏praise,1000.0,100.0,100.0,0.000723394157,0.8680729884,7.18127319,chuygarcia92,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,30
70,iviangita,iviangita,for joining the Legal weekly sync ,Token Engineering Commons,2021-04-30,🙏praise,1000.0,80.0,100.0,0.0006595463701,0.7914556442,23.87003435,iviangita,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,30
7141,ygganderson,JessicaZartler,"their presence, energy and smiles in the Comms Working Group today! 🌟🌈🌟",Telegram,2020-11-24,TE Praise,20.0,60.0,30.0,0.001283215058,,,ygganderson,Griff,Zep,Santi,#6 Dec 4,1.005185129,44.04111808,,TE Praise,Telegram:TE Praise,2020,11,24
5293,metaverde,iviangita,mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 💪🙏,Telegram,2021-01-22,TE Commons,,,,0.0,1.9815994338287328,31.70559094,metaverde,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Commons,Telegram:TE Commons,2021,1,22
6255,PKK777,iviangita,engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Telegram,2021-01-14,TE Commons,100.0,125.0,120.0,0.002961059817,2.220794863,2.413424545,pkk777,Griff,Jake,Zepti,#9 Jan 15,,,,TE Commons,Telegram:TE Commons,2021,1,14
4856,cranders71,iviangita,mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 💪🙏,Telegram,2021-02-12,TE Commons,20.0,15.0,15.0,0.0006416516372,0.5240155037,27.97258398,cranders71,Zep,Jake,Juanka,#11 Feb 12,,,,TE Commons,Telegram:TE Commons,2021,2,12
5351,durgadasji,metaverde,the insightful and well-formed presentation in Gravity today.,Telegram,2021-01-21,TE Praise,,0.0,0.0,0.0,0.0,16.5398834,durgadasji,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,21
4372,liviade,zeptimusQ,conducting and giving feedback on the audit 🙌🙌🙏,Telegram,2021-02-23,TE Praise,400.0,200.0,100.0,0.00256106791,3.670864005,11.95672351,liviade,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,23
3778,liviade,iviangita,for the last session of Gravity which is incredible for the whole ecosystem ,Token Engineering Commons,2021-03-12,🙏praise,25.0,5000.0,400.0,0.002870979995,2.966679328,8.736447588,liviade,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Token Engineering Commons:praise,2021,3,12
